sex,applications,offers,enrolled,year
all,32377,9668,3683,2016
Female,17048,5268,1985,2016
Male,15329,4400,1698,2016
all,36779,10058,3788,2017
Female,19359,5463,2121,2017
Male,17420,4595,1667,2017
all,37182,9828,3822,2018
Female,19567,5388,2161,2018
Male,17615,4440,1661,2018
all,40839,9778,3920,2019
Female,21801,5474,2202,2019
Male,19038,4304,1718,2019
all,40879,9231,3785,2020
Female,21760,5093,2153,2020
Male,19118,4138,1632,2020
all,47971,9951,3890,2021
Female,26560,5568,2228,2021
Male,21411,4383,1662,2021
all,50926,9503,4020,2022
Female,27731,5387,2287,2022
Male,23195,4116,1733,2022
all,56528,9533,3966,2023
Female,30819,5444,2276,2023
Male,25709,4089,1690,2023
all,58951,9909,3961,2024
Female,31685,5527,2243,2024
Male,27252,4382,1718,2024
